	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
2318	2318	2.0	0.1235	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Affordable housing is crucial
2319	2319	0.0	0.1259	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because it seems very good product to consider.
2320	2320	7.0	0.1235	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I went for the proposal that had less population density and costs
2321	2321	8.0	0.1129	area, high, environment, cost, pay, life, problem, space, quality, crime	Rent should not increase. High rent will remove low income people from the area.
2322	2322	1.0	0.1109	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I do not rent so not effected 
2323	2323	2.0	0.1258	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	In general, I preferred those proposal where the population density did not increase as much. In addition, affordable housing options were important to me.
2324	2324	9.0	0.1237	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I dont like rent control 
2325	2325	6.0	0.1259	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I consider the impact on me and my community
2326	2326	1.0	0.1387	climate, rent, important, cap, building, change, build, issue, neutral, mixed	preference for rent capping/control, more affordable housing but smaller increases in densification because of the effects of new developments on their surrounding neighborhoods. that is capped
2327	2327	2.0	0.1027	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Avoiding high density housing 
2328	2328	10.0	0.1631	people, live, city, lot, family, place, price, house, bad, property	I live next door to a new ten storey block that is like a carbuncle and adds nothing to the community. Until Westminster planners allow property to be built for normal people not the privileged few, it will always be a Ghetto for the rich
2329	2329	8.0	0.1109	area, high, environment, cost, pay, life, problem, space, quality, crime	better options for housing as not good to have just apartments and high buildings and shops are also a must have in neighbourhoods
2330	2330	7.0	0.1214	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	There was too much increase in population which would not be sustainable.
2331	2331	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't think we need any more housing, it is far too congested
2332	2332	8.0	0.1253	area, high, environment, cost, pay, life, problem, space, quality, crime	I think it would add value and bring communities closer together 
2333	2333	5.0	0.1087	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I checked for what would be better for me
2334	2334	7.0	0.1424	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	LESS INCREASE IN POPULATION DENSITY
2335	2335	7.0	0.1168	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	neither were totally acceptable. I feel after covid things might change and London density not be as necessary 
2336	2336	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Less densification preferred.
2337	2337	4.0	0.1148	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I particularly favoured the carbon neutral options. Also those giving local people a say in the project.
2338	2338	1.0	0.1002	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I was looking for ones which sounded more ethical
2339	2339	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	No room for further housing projects in Bexleyheath
2340	2340	6.0	0.117	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	profit distributed to help support communities and better living
2341	2341	8.0	0.1067	area, high, environment, cost, pay, life, problem, space, quality, crime	As the borough is getting heavily populated 
2342	2342	4.0	0.1214	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Cost versus environmental benefits
2343	2343	7.0	0.115	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Lower rent increases appealing
2344	2344	3.0	0.1069	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Generally rejected those with higher densification targets
2345	2345	2.0	0.161	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Residents should have significant input. Affordable housing should be the majority of the volume of housing, not only 10/20%. what other infrastructure (Leisure. schools, health facilities etc) are to be included. Transport links and car use; eg electric car charging points etc
2346	2346	7.0	0.153	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	my area is already overcrowded with the infrastructure at breaking point. There are plenty of places in the country with a very low density and increase in density should be moved there instead of increasing an already overstretched area
2347	2347	2.0	0.1347	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Please, just build affordable long-term secure social housing
2348	2348	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I would like no pollution, increase minimum density
2349	2349	8.0	0.1398	area, high, environment, cost, pay, life, problem, space, quality, crime	The infrastructure to support mass increase of population is not there.  Schools are struggling with increased demand for places, GPs, dentists and hospitals are all oversubcribed.  Shops and businesses are closing so there are not jobs, road traffic and public transport is heavy. The university is expanding its student housing placing additional burdens on the community.
2350	2350	4.0	0.1324	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	looked at residents involved, climate protection and increase in density and balance of each
2351	2351	9.0	0.1235	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	The climate aspect was the most important deciding factor. But I would also prefer more affordable housing, a not-for-profit investor, and rent control.
2352	2352	6.0	0.1212	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I think proposal 1 is reasonable because Perivale is not a rich community
2353	2353	1.0	0.1046	climate, rent, important, cap, building, change, build, issue, neutral, mixed	prefer the proposals that build houses
2354	2354	2.0	0.1372	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Need affordable housing, rent control and zero carbon
2355	2355	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Thats what I felt was right 
2356	2356	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Prefer lower density and non profit 
2357	2357	10.0	0.1216	people, live, city, lot, family, place, price, house, bad, property	Some of them going to have less coucil homes 
2358	2358	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I supported all because more housing is needed
2359	2359	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Area is already over-developed 
2360	2360	4.0	0.1073	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	None of the proposals fully met my requirements. I am generally against rent controls and against population densification. Most options had elements I disliked.
2361	2361	8.0	0.1028	area, high, environment, cost, pay, life, problem, space, quality, crime	I'm not in favour of very dense occupation as Clapham is already quite well filled
2362	2362	5.0	0.1372	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	whether it was a mix of residential and business, and degree of density
2363	2363	10.0	0.1335	people, live, city, lot, family, place, price, house, bad, property	ridiculous proposal, there is NO MONEY so tax payer will foot this ridiculous proposal and suffer the consequences. Not needed, not wanted. THIS IS ALL WRONG
2364	2364	2.0	0.146	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	It's impossible that at least 20% of housing is affordable and that projects are also carbon neutral. Rents should be controlled 
2365	2365	5.0	0.1169	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	prefer low rent and affordable not-for-profit landlords
2366	2366	6.0	0.1769	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Less housing in rural green sites use brown sites or redundant industrial sites
2367	2367	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	No particular reason
2368	2368	5.0	0.1066	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Profit and population 
2369	2369	8.0	0.1499	area, high, environment, cost, pay, life, problem, space, quality, crime	No, we do not want an increase in population without adequate infeastructure ie doctors, schools transport etc
2370	2370	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	I think we need to care about environment 
2371	2371	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I think there should be a rent cap and affordable housing
2372	2372	0.0	0.1027	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	They seemed the less detrimental options to the existing neighborhood
2373	2373	7.0	0.1046	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Look at proposed rent increases 
2374	2374	5.0	0.1237	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I think rent control in London is sorely needed. I also believe it is already too densely populated. I do not trust the for profit sector to keep its promises either, as has been shown in other housing projects
2375	2375	8.0	0.1151	area, high, environment, cost, pay, life, problem, space, quality, crime	Bring more business to the area
2376	2376	8.0	0.1387	area, high, environment, cost, pay, life, problem, space, quality, crime	Generally I was against 100% increase due to impact it has on other services (schools, gp, transport etc). I was in favour of proposals which have some form of rent control and of inclusivity for affordable housing, as I think housing costs in London are too high
2377	2377	1.0	0.119	climate, rent, important, cap, building, change, build, issue, neutral, mixed	it is important rent to not be increased in this covid times
2378	2378	10.0	0.1758	people, live, city, lot, family, place, price, house, bad, property	People need to start live in less urban areas. U.K. has a lot of land that people should be allowed to build and live on.
2379	2379	3.0	0.1027	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Want mixed use development, to create communities.
2380	2380	9.0	0.1024	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Seems fair and ethical 
2381	2381	2.0	0.1237	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	The change in population density was the main driver. London is already congested and while there is a need for affordable housing, the infrastructure is already bursting at its seams. 
2382	2382	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Prefererd that option
2383	2383	4.0	0.1371	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	All seemed to balance the more moderate policies with an extreme (eg 100% densification which trumped things like rent control as a negative). Also there were too few options with emphasis on green credentials and when these appeared they were unlikely to be credible considering other aspects of the proposal (eg very high densification).
2384	2384	9.0	0.1336	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I don't pay rent so think there should be a rent control 
2385	2385	7.0	0.1329	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I do not welcome increased population density (services, transport, policing, healthcare etc are NEVER increased by the same factor so the quality of life is always reduced as a result) nor I do believe in rent controls & the enforcement of social housing which invariably ghettoizes an area
2386	2386	8.0	0.1235	area, high, environment, cost, pay, life, problem, space, quality, crime	Rent costs are too high 
2387	2387	2.0	0.1045	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	overpopulation in all cases
2388	2388	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Nothing to say really 
2389	2389	1.0	0.1169	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Any change needs to be fully consulted with the involvement of local people.
2390	2390	7.0	0.1522	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	It's hard to put into words really. I would generally favour a smaller population increase as opposed to a larger population increase. 
2391	2391	9.0	0.1447	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent caps and climate control were key factors
2392	2392	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Liked none - the population is dense enough already
2393	2393	8.0	0.16	area, high, environment, cost, pay, life, problem, space, quality, crime	Barnet should limit the increase in population as it has become increasingly overcrowded with traffic and driven by a large influx of non-english speaking people from all corners of the globe with not enough thought being put into the facilities such as schools, hospitals, doctor and dental surgeries as well as transport to support the 100% increase in population
2394	2394	5.0	0.1046	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	voted for local people to have more say
2395	2395	1.0	0.1251	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I mainly favour the non-profit investers and the the rent cap
2396	2396	6.0	0.1028	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I want proposals that are based around increased affordability and not simply more housing 
2397	2397	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Preference for genuinely affordable housing
2398	2398	5.0	0.1169	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	An international investor is a clear proposal for above rent increases way above inflation.
2399	2399	7.0	0.1397	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	There did not appear to be any cases where the increase in population density was less than 50%.
2400	2400	1.0	0.132	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I decided mostly on what seems fair, in terms of a rent control or the provider is a nonprofit provider
2401	2401	3.0	0.1185	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I believe in rate caps as many people do not have or will not have job security.  Would also like councils to build my affordable housing.
2402	2402	7.0	0.1315	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Mixed use and low increase in density.
2403	2403	3.0	0.1169	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I am against population density due to demand on all types of services.
2404	2404	7.0	0.148	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I don't support any project that would increase population density, any increase should be kept at a minimum
2405	2405	1.0	0.1044	climate, rent, important, cap, building, change, build, issue, neutral, mixed	there is too much regulation
2406	2406	2.0	0.1352	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I think there should be social housing included and there should be rent control
2407	2407	2.0	0.1401	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I dont believe there should be significant rent increases each year on affordable housing. These rents are not affordable. Social rent caps are what is really needed.
2408	2408	3.0	0.1219	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The density increase is already happening on a massive scale. So why would any sane person support further chaos and vandalism to the area?  
2409	2409	0.0	0.1237	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I thought one had better reasons to be picked than the other which didn't please me as much
2410	2410	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I tried to go for the proposals that did not effect the surroundings too much
2411	2411	8.0	0.1514	area, high, environment, cost, pay, life, problem, space, quality, crime	Increase in crime, drugs, soliciting on the streets, noise pollution, rats, delinquency and gangs are associated with population density and creates racial tensions
2412	2412	2.0	0.1046	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	The affordable and involvements aspect I liked
2413	2413	2.0	0.1008	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Density and local involvement were main factors
2414	2414	5.0	0.1646	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Prefer government/not-for-profits over private developers to give long term affordable housing
2415	2415	10.0	0.1313	people, live, city, lot, family, place, price, house, bad, property	No involvement by the people who live in the Borough and any increase in housing not generated by local aims should be discouraged 
2416	2416	8.0	0.1148	area, high, environment, cost, pay, life, problem, space, quality, crime	Increasing the population by 50% is not a good idea as there not enough schools/doctors for all these people 
2417	2417	4.0	0.1259	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Trying to choose the least favourable. 
2418	2418	6.0	0.1235	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	there are pros & cons in both so I tried to pick the best
2419	2419	2.0	0.1148	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	rent caps  percent social housing  type of investor
2420	2420	7.0	0.1259	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	DENSITY OF POPULATION
2421	2421	2.0	0.1045	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I'm in favour of renovation
2422	2422	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It is a better proposal 
2423	2423	7.0	0.1149	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I chose mostly in favour of rent control and population increase
2424	2424	5.0	0.1324	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Preferred a non-profit organisation. Dislike apartments - why not incude houses?
2425	2425	10.0	0.1068	people, live, city, lot, family, place, price, house, bad, property	I do not want these kind of major developments where I live
2426	2426	8.0	0.1924	area, high, environment, cost, pay, life, problem, space, quality, crime	There is no mention of the infrastructure schools green spaces car parking doctors dentist for the area.  Island gardens has already enough housing 
2427	2427	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The quality of the same things
2428	2428	3.0	0.1067	make, thing, development, idea, great, time, favour, densification, infrastructure, year	People have a  voice to express themselves
2429	2429	5.0	0.1243	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Both types of proposal are like asking if you were to be run over would you prefer it was by a lorry or a car. Totally loaded questions!
2430	2430	7.0	0.1235	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	not in favour of density increase
2431	2431	9.0	0.1291	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control was a big factor for me in deciding on proposals
2432	2432	6.0	0.1259	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	sustainability and involvement
2433	2433	5.0	0.1397	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Type of shops and government investor
2434	2434	1.0	0.1233	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Tighter caps on rent increase
2435	2435	7.0	0.1372	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	disliked high density population increase
2436	2436	6.0	0.1235	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Good service to the community 
2437	2437	2.0	0.1239	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I would prefer one type of housing with some input to my neighbourhood. I don't think affordable housing would benefit the current neighbourhood 
2438	2438	5.0	0.1397	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I would not accept any proposals by foreign for-profit investors.
2439	2439	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	mainly down to rent increases
2440	2440	0.0	0.1027	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Like that you get a say on building works don't like 100% more people in the area 
2441	2441	1.0	0.1253	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Some aspects in both proposals were good, so it's a shame that we couldn't select individual categories, rather than have them bundled together as a mixed package with some good and some poor details 
2442	2442	1.0	0.1088	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I like the rent cap
2443	2443	10.0	0.123	people, live, city, lot, family, place, price, house, bad, property	Not enough social housing. Regenerate in London for the rich to push out the poor
2444	2444	5.0	0.1248	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Preferably a not-for-profit investor who accommodates much needed social housing 
2445	2445	10.0	0.1707	people, live, city, lot, family, place, price, house, bad, property	Neighbourhoods are being ruined by rich people moving in, pushing rents up, moving to get into schools, shutting down venues or pubs they don't like and overwhelming areas by their sheer numbers. Keep the rich out of London.
2446	2446	7.0	0.1251	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	lower intensity choice plus rent increases
2447	2447	2.0	0.1258	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I went for mixed use developments that did not have 100% population increase, had 20% affordable housing and some sort of reasonable rent cap
2448	2448	1.0	0.1335	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I think rent prices should be controlled. And somewhere I chosen the climate ones, because we need to protect the environment and build different buildings
2449	2449	5.0	0.1682	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I am totaly against any international for-profit companies buying any more housing. Most of it is illegal and untaxed. I do not trust private landlords and feel that government should be the driver in building and protecting rents
2450	2450	1.0	0.1235	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Density and climate change 
2451	2451	1.0	0.1027	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Tried to balance the needs for building sense of community 
2452	2452	0.0	0.1169	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Generally all proposals work for one reason or the other. It is better to go up than out on green / brown space
2453	2453	8.0	0.158	area, high, environment, cost, pay, life, problem, space, quality, crime	Too many people living in an area creates huge chaos with parking and utility services
2454	2454	1.0	0.1424	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate change inclusion in proposal one
2455	2455	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	More about the impact on the area as a whole
2456	2456	0.0	0.1008	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I think mixed housing increases diversity within an area
2457	2457	0.0	0.1148	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	don't believe large population increases in my area would be good, as roads are already overcrowded.
2458	2458	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	Too many people 
2459	2459	3.0	0.1308	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Lower densification figures, although not happy with any increase in densification
2460	2460	1.0	0.1625	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I feel that commitment to aid climate change is really important 
2461	2461	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I'm against investment, particularly foreign, profiting from housing
2462	2462	3.0	0.1239	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I am generally in favour of modest, rather than high-intensity, development. More housing is needed in many areas especially for key workers
2463	2463	8.0	0.1212	area, high, environment, cost, pay, life, problem, space, quality, crime	No need for new building in Kingston while approx 30% of retail space is vacant.
2464	2464	10.0	0.1255	people, live, city, lot, family, place, price, house, bad, property	I live next to a large Royal Park and wouldn't like to see too much new building going on but there are a few places that have a little extra land that could be built on to compliment the area 
2465	2465	7.0	0.1315	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Population density in Enfield is already too high.
2466	2466	1.0	0.1459	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Rent caps and climate neutral 
2467	2467	7.0	0.1259	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Too much of population increase
2468	2468	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	better for the people
2469	2469	8.0	0.1392	area, high, environment, cost, pay, life, problem, space, quality, crime	The lack of ecological specifications was a real problem for me in some proposals.
2470	2470	1.0	0.1046	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I was against building densification in general.
2471	2471	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Considered most important criteria for myself
2472	2472	2.0	0.1128	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Important factors are affordable housing, public involvement in whole project, not-for-profit contractor
2473	2473	5.0	0.1	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Proposal 1 seems fairer
2474	2474	7.0	0.1347	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I believe that most proposal 1 would be best for my community and increase the populations diversity, age and more
2475	2475	3.0	0.1372	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I like the idea of a capitalist type investment so those are the type of proposals I like
2476	2476	1.0	0.1027	climate, rent, important, cap, building, change, build, issue, neutral, mixed	The term and condition are generally accepted
2477	2477	7.0	0.1149	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Building more accommodation just increases the already overpopulated community that I live in.
2478	2478	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Best fit for me 
2479	2479	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I think density is already too high 
2480	2480	1.0	0.1695	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Already over-built. Change building usage, don't build more.
2481	2481	7.0	0.1364	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Whilst I don't mind increases in density in principle. I think a 50% increase is too much for the area amenities. Also, a rent cap of 10% per year is clearly too high.
2482	2482	8.0	0.119	area, high, environment, cost, pay, life, problem, space, quality, crime	I want my area to be like it was, I had developments, its choking out the common folk here
2483	2483	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Different reasons for different proposals. But all had to be net zero compliant. 
2484	2484	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	Didn't like the cost or overpopulation
2485	2485	2.0	0.1424	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	It doesn't really affect me much, considering my current housing situation, but I think affordable housing is necessary and I don't agree with the idea of people going homeless
2486	2486	8.0	0.1228	area, high, environment, cost, pay, life, problem, space, quality, crime	I would like mixed use with restaurants and shops to bring more life to the neighbourhood
2487	2487	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	brings community together
2488	2488	7.0	0.1186	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	rent cap, limited increase population, residents involvement in the project
2489	2489	9.0	0.1377	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent controls were the most important factor for me.
2490	2490	5.0	0.1077	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I adopted a middle of the road stance, against the criterion: 'is this reasonable.'  I am also less concerned with the fine detail than with the 'how' of the project. Implementation is as important as the strategy, and in the UK most projects succeed or fail because of how they are implemented rather the nature of the concept.
2491	2491	5.0	0.1607	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Basically I prefer such projects to be financed and completed by government/local authorities
2492	2492	3.0	0.1192	make, thing, development, idea, great, time, favour, densification, infrastructure, year	no more building full stop!! there's been too much of it over the years
2493	2493	10.0	0.1301	people, live, city, lot, family, place, price, house, bad, property	I think density is large enough as the more people we have increases traffic which is not good for everyday living 
2494	2494	8.0	0.1568	area, high, environment, cost, pay, life, problem, space, quality, crime	I'M AGAINST ANY FORM OF RENT CONTROL BECAUSE IT IS ANTI-COMPETITIVE AND IT PENALISES PRIVATE SECTOR LANDLORDS IN AN ERA OF INFLATIONARY GROWTH. I DISLIKE AND ABHORR 100% DENSIFICATION BECAUSE IT PUTS TOO MUCH PRESSURE ON EXISTING INFRASTRUCTURE, SCHOOLS, HOSPITALS AND DOCTOR'S SURGERIES AND MAKES LIFE A LOT HARDER FOR EXISTING RESIDENTS IN THE AREA.
2495	2495	2.0	0.1258	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Rent increases should be limited to 5%.  The project should include affordable housing and a mix of apartments and commercial.
2496	2496	8.0	0.119	area, high, environment, cost, pay, life, problem, space, quality, crime	I was checking mostly the max level of rental increases 
2497	2497	3.0	0.1171	make, thing, development, idea, great, time, favour, densification, infrastructure, year	any increase needs to have an increase in infrastructure which doesnt happen
2498	2498	1.0	0.1186	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I reject all proposals as they do not all include rent, density & resident control, climate neutral UK financing
2499	2499	8.0	0.1794	area, high, environment, cost, pay, life, problem, space, quality, crime	Development will happen regardless, the problem is that no provision for parking is ever adequate for the size of the development and there will never be enough charging points for all the cars that any of the proposals will create, neither will there be concessions for deliveries and the town will choke with far too many cycle lanes and petty parking restrictions along with fewer car parks. Retailing will be killed off by the councils plans even though more housing is essential.
2500	2500	3.0	0.119	make, thing, development, idea, great, time, favour, densification, infrastructure, year	not in favour of any development in existing built up areas
2501	2501	5.0	0.1263	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	The housing being built in Lewisham is high rise and small aparments that are too small
2502	2502	8.0	0.154	area, high, environment, cost, pay, life, problem, space, quality, crime	The issue is not the increase in population rather what the local area can handle in terms of travel, public facilities (e.g doctors and hospitals).
2503	2503	7.0	0.1237	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	There has already been a significant density of population in this area; the proposals would only exacerbate this possibly leading to civil unrest and an increase in crime.
2504	2504	7.0	0.1129	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	concerns on density of population and mix given proximity of large mosque
2505	2505	7.0	0.1372	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	My main concern would be the increase in population density
2506	2506	9.0	0.1304	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	to double density is too much and I approve of environment control and rent control
2507	2507	9.0	0.1071	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rents capped at 5 percent seems fair and there should also be restaurants and businesses to create community
2508	2508	7.0	0.1195	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Keep density low
2509	2509	7.0	0.1627	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Rent control to an extent is ok with me; Slight increase in population density is acceptable for me;
2510	2510	5.0	0.155	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Local input is imperative along with affordable housing handled by local government
2511	2511	7.0	0.117	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	No rent control' is a no-go area for me, so also is a population of over 50 percent
2512	2512	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	no reason in particular
2513	2513	8.0	0.119	area, high, environment, cost, pay, life, problem, space, quality, crime	Neither option in any of the selections was suitable in an already over-populated area
2514	2514	7.0	0.1235	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	do not want local density increased by 100%
